taxa,Tissue_type,Comment,Site,Site_Abbrev,Box,Chick,Collection_date,Age,size_g_or_mm,Scientific_name,CryoBox,vial,Volume_mL,vss63,FA_ID,C6_0,C8_0,C10_0,C11_0,C12_0,C13_0,C14_0,C15_0i,C15ai,C14_1n5,C15_0,C16_0i,C15_1,C16_0,C16_1n7,C17_0,C16_3n4,C17_1,C18_0,C18_1n9t,C18_1n9c,C18_1n7,C18_2n6t,C18_2n6c,C20_0,C18_3n6,C20_1n9,C20_1n7,C18_3n3,C21_0,C18_4n3,C20_2,C22_0,C20_3n9,C20_3n6,C22_1n9,C20_3n3,C20_4n6,C23_0,C22_2,C24_0,C20_5n3,C24_1n9,C22_4n6,C22_5n6,C22_5n3c,C22_6n3,Omega3,Omega6,SAFA,MUFA,PUFA,Total_FA,matrix_id,site_matrix
Tree_Swallow,portion,.,Big Lake East,BS,810,.,6/17/10,0,23.7,Tachycineta bicolor,2,,,,12,0,0,0,0,0.22756607,0,1.273119014,0.366960204,0.068426875,0.10825921,0.251582718,0,0,36.56473631,2.645568208,0.803746306,0,0,22.2301248,0.164387618,7.948189844,5.668311239,0,7.823761608,0.277803288,0.226035555,0.260659816,0.035862148,1.104671331,0,0.28975808,0.291774817,0.277429929,0,0.96185488,0,0.235617357,9.986106638,0,0,0.258926658,3.498549327,0.187480068,0.997215426,0,6.656345332,7.290166132,19.07510756,19.99497411,62.60042217,17.01871815,39.36185648,118.9809968,Bird,BS _Bird
Tree_Swallow,portion,.,Big Lake East,BS,802,c,6/22/10,0,19.1,Tachycineta bicolor,2,,,,13,0,0,0,0,0.186046292,0,0.453973379,0.06370336,0.024563036,0,0.173195078,0,0,17.8354694,1.42723478,0.725896543,0,0,18.04072427,0.128290864,10.9537941,4.620481072,0,9.488211981,0.282265939,0.196559354,0.266965905,0.022394469,1.105440725,0,0.270002949,0.288906963,0.304414576,0,1.078231879,0.116403884,0.203541172,12.60449741,0,0,0.265196633,3.41442451,0.206499367,1.042656729,0,6.356687099,8.224546987,19.57464344,24.41015735,38.3554485,17.74206444,44.27370776,100.3712207,Bird,BS _Bird
Tree_Swallow,portion,.,Big Lake East,BS,802,b,6/22/10,0,21.8,Tachycineta bicolor,2,,,,14,0,0,0,0,0.219166434,0,0.63998145,0.141005909,0.029414791,0,0.214258321,0,0,21.88912381,2.037983492,0.951322927,0,0,21.91859514,0.150957532,15.55727512,5.925589257,0,11.14308075,0.325159289,0.192093176,0.345936615,0.029660376,1.366642321,0,0.280449972,0.328967797,0.325627216,0,1.242290224,0.136834332,0.235787176,14.32040706,0,0,0.281529917,3.026111473,0.178242278,1.042369759,0,5.806985706,6.861380155,17.5773568,27.94024097,46.93518521,24.362479,45.84656557,117.1442298,Bird,BS _Bird
Tree_Swallow,portion,.,Big Lake East,BS,802,a,6/22/10,0,18.2,Tachycineta bicolor,2,,,,15,0,0,0,0,0.196304093,0,0.626542693,0.113300605,0.042982001,0,0.188437696,0,0,22.19484991,1.822860894,0.84026742,0,0,20.13539732,0.144887483,13.56576813,5.579958653,0,9.741534941,0.289870444,0.189908844,0.332755818,0,1.315861957,0,0.278674813,0.307235255,0.283955113,0,1.097834816,0.126911878,0.226239234,12.15604747,0,0,0.240470467,3.631761498,0.16306783,1.079721543,0,7.89464086,7.986267945,21.33344631,24.26504761,45.15237777,21.73621068,45.90572917,112.7943176,Bird,BS _Bird
Tree_Swallow,portion,.,Big Lake East,BS,806,a,6/22/10,0,18.7,Tachycineta bicolor,2,,,,16,0,0,0,0,0.165418698,0,0.677782426,0.153116279,0.04545016,0.093598142,0.239532328,0,0,19.56412508,1.399964553,0.773339995,0,0,19.07275631,0.166835831,7.615697696,4.667229012,0,8.345005577,0.263556062,0.163415248,0.289584169,0,1.178726226,0,0.237693236,0.27315832,0.287018167,0,1.064502292,0.125388471,0.191156935,11.8027226,0,0,0.247079177,3.303861107,0,1.086071831,0,7.193228694,6.87727351,18.98193971,22.46171755,41.48917468,14.35829787,41.71681558,97.56428814,Bird,BS _Bird
Tree_Swallow,portion,.,Big Lake South,BS,982,.,6/23/10,0,22.9,Tachycineta bicolor,2,,,,17,0,0,0,0,0.201953558,0,0.959376812,0.138393455,0.041153012,0.104957041,0.233669479,0,0,22.88522187,1.627033195,0.802975998,0,0,19.84747108,0.155574779,6.480692322,4.260706025,0,7.433860898,0.276137311,0.159933028,0.245160353,0,1.146016462,0,0.251219748,0.301061387,0.300288056,0,0.934456367,0,0,13.50289703,0,0,0.249472088,3.590473034,0.168056913,1.098147871,0,6.713083662,6.53632125,18.23711416,23.12929519,45.93611271,13.04218063,41.66747074,100.6457641,Bird,BS _Bird
Tree_Swallow,portion,.,Big Lake East,BS,806,b,6/24/10,0,19.7,Tachycineta bicolor,2,,,,18,0,0,0,0,0.249858078,0,0.697816495,0.152937698,0.04077825,0,0.212815265,0,0,21.5582619,2.219027007,0.872926411,0,0,21.12464179,0.175518444,22.26843424,7.108497982,0,12.10012309,0.431984879,0.498432815,0.30342414,0,1.375479172,0,0.477103838,0.278817434,0.361511958,0,0.921857547,0,0.196805617,15.5285293,0,0,0.311054033,2.615791247,0.19096578,0.992184378,0,5.148338871,7.492516347,17.30603509,30.04112713,46.01458676,32.26586759,47.62597966,125.906434,Bird,BS _Bird
Tree_Swallow,portion,.,Big Lake East,BS,806,c,6/24/10,0,18,Tachycineta bicolor,2,,,,19,0,0,0,0,0.172825982,0,0.396544537,0.072069473,0.02222219,0,0.172837502,0,0,15.73261988,0.940592502,0.692426247,0,0,18.41750069,0.143835428,13.18314252,4.658787248,0,8.443242857,0.266880168,0.287329219,0.201249746,0,0.652380271,0,0.265976893,0.233585192,0.299814475,0,1.009252071,0.104528315,0.178433245,13.57844635,0,0,0.262203095,2.034024166,0.187105429,0.829353884,0,5.782211288,8.074971652,16.98799751,24.14762438,36.50794424,19.41924118,41.36920709,97.29639251,Bird,BS _Bird
Tree_Swallow,portion,.,Big Lake East,BS,806,d,6/24/10,0,17,Tachycineta bicolor,2,,,,20,0,0,0,0,0.208017852,0,0.453277131,0.098583459,0.025211944,0,0.179681156,0,0,18.3711749,1.162030869,0.801270747,0,0,20.73140974,0.15435587,14.13487803,5.948410217,0,10.7466132,0.340792351,0.376664372,0.25556097,0,0.754631863,0,0.306087308,0.305094421,0.324763676,0,0.946707258,0,0,14.22654696,0,0,0.294557664,2.268270002,0.190320426,0.9518736,0,6.075451617,8.428363557,17.83280435,27.24840539,41.82874062,21.84555639,45.38630416,109.0606012,Bird,BS _Bird
Tree_Swallow,portion,.,Big Lake East,BS,806,e,6/24/10,0,16.9,Tachycineta bicolor,2,,,,21,0,0,0,0,0.228758845,0,0.468251033,0.101741632,0.056166924,0,0.189658697,0,0,18.39155401,1.427157355,0.79718587,0,0,20.43816297,0.165959399,14.29010932,6.049554743,0,10.90814011,0.339523108,0.337227068,0.266820137,0,1.136077283,0,0.38889016,0.27712336,0.377469218,0,0.895605215,0,0.218964012,14.46865918,0,0,0.292501641,2.149989315,0.175289528,1.229732988,0,5.58649969,7.294838684,16.77525914,27.83936456,41.68097394,22.37489048,44.89174707,108.9476115,Bird,BS _Bird
