taxa,Tissue_type,Comment,FA_ID,Site,Site_Abbrev,Box,Chick,Collection_date,size_g_or_mm,Scientific_name,CryoBox,taxa2,matrix_id,PtLipids
Chironomidae,composite,.,120,Big Lake North,BN,,,6/24/10,,,4,Chiro,Chiro,13.02741591
Chironomidae,composite,.,122,Big Lake North,BN,,,6/30/10,,,4,Chiro,Chiro,12.934519
Chironomidae,composite,.,124,Big Lake North,BN,,,7/6/10,,,4,Chiro,Chiro,11.95355191
Chironomidae,composite,.,213,Big Lake North,BN,,,5/30/10,,,1,Chiro,Chiro,11.7154418
Chironomidae,composite,.,215,Big Lake North,BN,,,6/7/10,,,1,Chiro,Chiro,13.21784635
Chironomidae,composite,.,217,Big Lake North,BN,,,6/15/10,,,1,Chiro,Chiro,15.46961326
Chironomidae,composite,.,219,Big Lake North,BN,,,6/24/10,,,1,Chiro,Chiro,13.78446115
Chironomidae,composite,.,221,Big Lake North,BN,,,6/30/10,,,1,Chiro,Chiro,13.54667212
Chironomidae,composite,.,223,Big Lake North,BN,,,7/6/10,,,1,Chiro,Chiro,12.91677606
Chironomidae,composite,.,125,Big Lake South,BS,,,5/30/10,,,4,Chiro,Chiro,12.4847126
Chironomidae,composite,.,126,Big Lake South,BS,,,6/7/10,,,4,Chiro,Chiro,12.1677721
Chironomidae,composite,.,127,Big Lake South,BS,,,6/15/10,,,4,Chiro,Chiro,14.09502939
Chironomidae,composite,.,128,Big Lake South,BS,,,6/24/10,,,4,Chiro,Chiro,12.81032771
Chironomidae,composite,.,130,Big Lake South,BS,,,6/30/10,,,4,Chiro,Chiro,15.1424042
Chironomidae,composite,.,132,Big Lake South,BS,,,7/6/10,,,4,Chiro,Chiro,14.02992396
Chironomidae,composite,.,225,Big Lake South,BS,,,5/30/10,,,1,Chiro,Chiro,13.84083045
Chironomidae,composite,.,227,Big Lake South,BS,,,6/7/10,,,1,Chiro,Chiro,12.71378841
Chironomidae,composite,.,229,Big Lake South,BS,,,6/15/10,,,1,Chiro,Chiro,13.22898258
Chironomidae,composite,.,231,Big Lake South,BS,,,6/24/10,,,1,Chiro,Chiro,11.92910702
Chironomidae,composite,.,233,Big Lake South,BS,,,6/30/10,,,1,Chiro,Chiro,14.67358754
Chironomidae,composite,.,235,Big Lake South,BS,,,7/6/10,,,1,Chiro,Chiro,14.12305136
Chironomidae,composite,.,133,Emiquon North,EN,,,5/26/10,,,4,Chiro,Chiro,14.2804496
