SPEC_ID,BS_ID,TC_ID,TC_ID2,SEX,WELL_NO,FOIL_TEAR DRY WT,SAMPLE DRY WT
161,9,30,,,O-4,0.0253,0.0255
162,9,30,,,O-5,0.0256,0.0255
163,9,30,,,O-6,0.0293,0.0299
164,9,30,,,O-7,0.024,0.0238
165,9,30,,,O-8,0.0349,0.0347
166,9,30,,,O-9,0.0404,0.041
167,9,30,,,O-10,0.0315,0.0321
168,9,30,,,O-11,0.0258,0.0261
169,9,30,,,O-12,0.0266,0.0275
170,9,31,,,E-1,0.0426,0.0436
171,9,32,,,E-2,0.0343,0.0348
172,9,32,,,E-3,0.0366,0.037
173,10,33,,,E-4,0.0363,0.0373
174,10,33,,,E-5,0.0368,0.0376
175,10,33,,,E-6,0.0404,0.0413
176,10,33,,,E-7,0.0403,0.0406
177,10,33,,,E-8,0.0316,0.0318
178,10,33,,,E-9,0.0336,
179,10,33,,,E-10,0.0372,
180,10,34,,,E-11,0.0302,0.0319
181,10,35,,,E-12,0.024,0.0242
182,10,36,,,P-1,0.0217,0.0221
183,10,36,,,P-2,0.0219,0.0223
184,10,37,,,P-3,0.0237,0.0245
185,11,38,,,P-4,0.0232,0.0241
186,11,38,,,P-5,0.0252,0.0257
187,11,38,,,P-6,0.0299,0.0302
188,11,38,,,P-7,0.0187,0.019
189,11,38,,,P-8,0.0203,0.0215
190,11,38,,,P-9,0.0242,0.0251
191,11,38,,,P-10,0.028,0.0291
192,11,38,,,P-11,0.0223,0.0234
193,11,38,,,P-12,0.0254,0.026
194,11,38,,,Q-1,0.0186,0.0192
195,11,38,,,Q-2,0.0257,0.0265
196,11,38,,,Q-3,0.0212,0.0218
197,11,39,,,Q-4,0.021,0.023
198,12,40,,,Q-5,0.0223,0.024
199,12,40,,,Q-6,0.0241,0.0269
200,12,40,,,Q-7,0.0256,
201,12,40,,,Q-8,0.0188,0.0202
202,12,40,,,Q-9,0.0469,0.0481
203,12,40,,,Q-10,0.0244,0.025
204,12,40,,,Q-11,0.0253,0.0261
205,12,40,,,Q-12,0.0234,0.0243
206,12,40,,,R-1,0.022,
207,12,40,,,R-2,0.0249,0.0248
208,12,40,,,R-3,0.0276,0.0277
209,12,40,,,R-4,0.0222,0.0225
210,12,41,,,R-5,0.0212,0.0213
211,12,42,,,R-6,0.0176,0.0176
212,12,43,,,R-7,0.0231,0.0231
213,13,44,,,R-8,0.0428,0.0431
214,13,44,,,R-9,0.0247,0.025
215,13,44,,,R-10,0.0216,0.0217
216,13,44,,,R-11,0.022,0.0221
217,13,44,,,R-12,0.0172,0.0173
218,13,45,,,S-1,0.0305,0.0303
219,13,46,,,S-2,0.0308,0.0328
220,14,47,,,S-3,0.0283,0.0283
221,14,48,,,S-4,0.0344,0.0343
222,14,49,,,S-5,0.0296,0.0326
223,14,49,,,S-6,0.0354,0.0371
224,14,49,,,S-7,0.0268,0.029
